teacher (m),professor,
teacher (f),professora,
driver,motorista,
writer (m),escritor,
writer (f),escritora,
architect (m),arquiteto,
architect (f),arquiteta,
doctor (m),médico,
doctor (f),médica,
dentist,dentista,
hairdresser (m),cabeleireiro
hairdresser (f),cabeleireira,
yoga instructor (m),instrutor de ioga,
yoga instructor (f),instrutora de ioga,
pianist,pianista,
waiter (m),empregado de mesa,
waiter (f),empregada de mesa,
computer/software engineer (m),engenheiro de informático,
computer/software engineer (f),engenheira de informático,
nurse (m),enfermeiro,
nurse (f),enfermeira,
cook (m),cozinheiro,
cook (f),cozinheira,
florist,florista,
student,estudante,
taxi driver,taxista